fecha	archivo	algoritmo	cp	minsplit	minbucket	maxdepth	ganancia_promedio	tiempo_promedio	ganancias			
20160919 015943	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	200	5	20	598333.3	136.3015	598333.3			
20160919 015951	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	1000	2	5	0	6.80287	0			
20160919 020002	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	1000	2	10	0	11.40578	0			
20160919 020018	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	1000	2	20	0	14.65139	0			
20160919 020025	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	1000	5	5	0	6.601847	0			
20160919 020037	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	1000	5	10	0	11.23415	0			
20160919 020051	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	1000	5	20	0	14.36681	0			
20160919 020058	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	3000	2	5	0	6.630241	0			
20160919 020110	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	3000	2	10	0	11.07931	0			
20160919 020125	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	3000	2	20	0	14.24977	0			
20160919 020132	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	3000	5	5	0	6.777368	0			
20160919 020144	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	3000	5	10	0	11.42085	0			
20160919 020159	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	3000	5	20	0	14.28925	0			
20160919 020206	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	20	2	5	0	6.399479	0			
20160919 020213	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	20	2	10	0	6.955401	0			
20160919 020220	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	20	2	20	0	6.662568	0			
20160919 020228	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	20	5	5	0	6.56253	0			
20160919 020235	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	20	5	10	0	6.650204	0			
20160919 020242	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	20	5	20	0	6.694686	0			
20160919 020249	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	200	2	5	0	6.573767	0			
20160919 020257	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	200	2	10	0	7.038728	0			
20160919 020303	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.1	200	2	20	0	6.057199	0			
